name,country,address,email
GOOD HOPE  STUDIES,Afrique du Sud,"11 Mariendahl Avenue, NEWLANDS, 77000 CAP TOWN SOUTH AFRICA",vanessa@goodhopevolunteers.com
IH CAPE TOWN,Afrique du Sud,"5 Regent Rd & Church Rd, Sea Point, Cape Town, 8005, Afrique du Sud",gavin@ihcapetown.com
YOU 2 AFRICA,Afrique du Sud,"Office 207, 2nd Floor Premier Centre, 451 Main Road, Observatory, 7925, Cape Town",toby@you2africa.com
BWS,Allemagne,Hackenstr.7c 80331 Munich,info@bws-germanlingua.de
CAMP ADVENTURE,Allemagne,Laufgraben 16 - 20146 Hamburg - Germany,jan@campadventure.de
DID,Allemagne,"Hauptstrasse 26, 63811 Stockstadt/Main ",christian.carrere@did.de
GLS,Allemagne,"Kastanienallee 82, 10435 Berlin",julia.kleineidam@gls-sprachenzentrum.de
HLI Allemagne,Allemagne,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ACADEMIC SUMMER,Angleterre,"20 Rossiter Close, Bathpool, Taunton, TA2 8FN",helen.lami@academicsummer.co.uk
ARDINGLY,Angleterre,HAYWARDS HEALTH WEST SUSSEX R H 1 7 6 SQ,
ARDMORE,Angleterre,"Ardmore Language Schools, c/o University of Brighton - Eastbourne Campus, 1 Denton Road, Hillbrow, Eastbourne, BN20 7SR",bastien@theardmoregroup.com
BARNARD CASTLE SCHOOL,Angleterre,"Newgate Street, Barnard Castle, Durham, DL12 8UN",secretary@barneyschool.org.uk
BEET,Angleterre,"Nortoft Road, Charminster, Bournemouth, Dorset BH8 8PY",sarah.b@beet.co.uk
BELL,Angleterre,"Red Cross Lane, Cambridge, CB2 0QU",Europe@bellenglish.com
BETHANY SCHOOL,Angleterre,Curtisden Green,registrar@bethanyschool.org.uk
BUCKSWOOD,Angleterre,"Rye Road, Guestling, East Sussex, TN35 4LT, England",summerschool@buckswood.co.uk
CHRIST COLLEGE ,Angleterre,"Brecon, Powys, LD3 8AF, Wales",margaret.stephens@christcollegebrecon.com
COBHAM HALL SCHOOL,Angleterre,"COBHAM HALL, COBHAM, KENT, DA12 3BL, UNITED KINGDOM",Conor@eci.ie
DISCOVERY SUMMER,Angleterre,33 Kensington High street London W8 5EA,jane@discoverysummer.com
